rank,file,folder,affinity_kcal_mol,Kd_M,full_path
132,CD39_nanobody_143.pdb,CD39_nanobody_150,-6.5,1.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_143.pdb
133,CD39_nanobody_145.pdb,CD39_nanobody_150_2,-6.5,1.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_145.pdb
134,CD39_nanobody_20.pdb,CD39_nanobody_150_2,-6.5,1.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_20.pdb
135,CD39_nanobody_21.pdb,CD39_nanobody_150,-6.5,1.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_21.pdb
136,CD39_nanobody_33.pdb,CD39_nanobody_150_2,-6.5,1.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_33.pdb
137,CD39_nanobody_43.pdb,CD39_nanobody_150_2,-6.5,1.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_43.pdb
138,CD39_nanobody_54.pdb,CD39_nanobody_150,-6.5,1.7e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_54.pdb
139,CD39_nanobody_69.pdb,CD39_nanobody_150_2,-6.5,1.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_69.pdb
140,CD39_nanobody_74.pdb,CD39_nanobody_150_2,-6.5,1.6e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_74.pdb
141,CD39_nanobody_81.pdb,CD39_nanobody_150_2,-6.5,1.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_81.pdb
142,CD39_nanobody_83.pdb,CD39_nanobody_150_2,-6.5,1.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_83.pdb
143,CD39_nanobody_89.pdb,CD39_nanobody_150_2,-6.5,1.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_89.pdb
144,CD39_nanobody_91.pdb,CD39_nanobody_150,-6.5,1.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_91.pdb
